Resolución,Nombre,Categoría,Megapíxeles,FPS_Nativo,FPS_Híbrido,Inferencia_ms,Latencia_Total_ms,Caída_FPS_%,Tiempo_Real,Suave,Competitivo,Valoración,Cuello_Botella
160x120,QQVGA,Muy Baja,0.0192,5023.181368566326,540.165550175002,0.07359165116068297,1.573591651160683,89.24654495744055,True,True,True,Excelente,AI_Processing
320x240,QVGA,Baja,0.0768,3924.340000910655,419.38729326991194,0.5267662221538784,2.0267662221538782,89.31317640233539,True,True,True,Excelente,AI_Processing
480x270,qHD,Baja+,0.1296,1837.0216611324058,329.73600561359115,1.0778197877367761,2.577819787736776,82.05051074845082,True,True,True,Excelente,AI_Processing
640x360,nHD,Media Baja,0.2304,1008.7439799675246,213.4621946684801,2.4819697409187715,3.9819697409187715,78.83881352378903,True,True,True,Excelente,AI_Processing
640x480,VGA,Media,0.3072,769.4594530977913,159.47240669755763,3.8300757015101725,5.3300757015101725,79.27474851916723,True,True,True,Excelente,AI_Processing
800x600,SVGA,Media+,0.48,485.9128122653864,98.10848292828194,7.163878745544934,8.663878745544935,79.80944719879109,True,True,False,Bueno,AI_Processing
1024x576,WSVGA,Media Alta,0.589824,398.57695086501326,78.68762783429928,9.302206438220928,10.802206438220928,80.25785794599332,True,True,False,Bueno,AI_Processing
1024x768,XGA,Alta,0.786432,299.33149211199424,51.38640950589917,15.041338617994311,16.541338617994313,82.83294245342115,True,False,False,Aceptable,AI_Processing
1280x720,HD,HD Estándar,0.9216,255.43531961416272,41.966928661550526,18.754043531633453,20.254043531633453,83.57042842589586,True,False,False,Aceptable,AI_Processing
1366x768,WXGA,HD+,1.049088,225.28221097779758,33.615589053474196,23.785887409197485,25.285887409197485,85.07845386123846,True,False,False,Aceptable,AI_Processing
1600x900,HD+,HD Plus,1.44,162.56481550089154,21.49434882858485,38.045278006729106,39.545278006729106,86.77798220829219,False,False,False,Insuficiente,AI_Processing
1680x1050,WSXGA+,HD Pro,1.764,133.42264469029192,15.128642598748765,54.68481595105567,56.18481595105567,88.66111323616302,False,False,False,Insuficiente,AI_Processing
1920x1080,FHD,Full HD,2.0736,115.89454623985016,11.628054170277474,71.59907466484712,73.09907466484712,89.96669425133035,False,False,False,Insuficiente,AI_Processing
2048x1152,2K,2K Intermedio,2.359296,100.83256753700724,8.476236073867454,98.78035941808899,100.28035941808899,91.59375162121451,False,False,False,Insuficiente,AI_Processing
2560x1440,QHD,Quad HD,3.6864,63.47271234233399,3.018296368708159,280.1158177216384,281.6158177216384,95.2447339063923,False,False,False,Insuficiente,AI_Processing
3200x1800,QHD+,Quad HD+,5.76,41.514284653992576,0.9125619787138828,929.9435839173857,931.4435839173857,97.80181210800144,False,False,False,Insuficiente,AI_Processing
3840x2160,4K UHD,4K Ultra HD,8.2944,28.334658333632824,0.30280287845276466,2805.6067367102146,2807.1067367102146,98.93133393426756,False,False,False,Insuficiente,AI_Processing
4096x2160,DCI 4K,4K Cinema,8.84736,26.714857155930023,0.2605891806713919,3260.3391823099773,3261.8391823099773,99.02455334441663,False,False,False,Insuficiente,AI_Processing
