salida,out_w,out_h,in_w,in_h,scale_eff,fsrcnn,infer_ms,infer_fps,psnr_bicubic,ssim_bicubic,psnr_hybrid,ssim_hybrid,psnr_gain,ssim_gain
720p,1280,720,256,144,5.0,x4,3.59,278.2,26.157,0.7862,26.237,0.7419,0.08,-0.0443
720p,1280,720,320,180,4.0,x4,5.63,177.6,27.681,0.8281,27.621,0.7879,-0.06,-0.0402
720p,1280,720,426,240,3.0,x3,9.93,100.7,29.875,0.8737,29.879,0.8454,0.004,-0.0283
720p,1280,720,480,270,2.67,x3,11.6,86.2,30.302,0.8951,30.336,0.8663,0.034,-0.0288
720p,1280,720,640,360,2.0,x2,17.22,58.1,33.282,0.9413,33.976,0.9291,0.694,-0.0122
720p,1280,720,768,432,1.67,x2,24.76,40.4,34.484,0.9538,34.985,0.9433,0.501,-0.0105
720p,1280,720,854,480,1.5,x2,36.64,27.3,36.175,0.9637,36.639,0.9534,0.464,-0.0103
720p,1280,720,960,540,1.33,x2,38.89,25.7,36.893,0.9725,37.777,0.9627,0.885,-0.0097
720p,1280,720,1152,648,1.11,x2,56.69,17.6,39.491,0.9848,40.408,0.9751,0.917,-0.0098
1080p,1920,1080,256,144,7.5,x4,3.55,281.4,25.871,0.7505,25.977,0.7084,0.106,-0.042
1080p,1920,1080,320,180,6.0,x4,5.83,171.6,27.049,0.7809,27.056,0.7449,0.007,-0.036
1080p,1920,1080,426,240,4.5,x4,12.34,81.0,28.891,0.8255,29.03,0.7939,0.139,-0.0316
1080p,1920,1080,480,270,4.0,x4,14.02,71.3,29.34,0.8461,29.336,0.8124,-0.005,-0.0337
1080p,1920,1080,640,360,3.0,x3,20.98,47.7,30.866,0.8787,30.99,0.8502,0.124,-0.0285
1080p,1920,1080,768,432,2.5,x2,24.5,40.8,32.342,0.9067,32.511,0.8948,0.169,-0.0119
1080p,1920,1080,854,480,2.25,x2,36.93,27.1,33.306,0.9193,33.393,0.9077,0.087,-0.0117
1080p,1920,1080,960,540,2.0,x2,39.55,25.3,34.573,0.9388,34.975,0.9271,0.402,-0.0116
1080p,1920,1080,1152,648,1.67,x2,56.6,17.7,35.774,0.9529,36.005,0.9421,0.231,-0.0108
1080p,1920,1080,1280,720,1.5,x2,73.44,13.6,37.401,0.964,37.239,0.9526,-0.162,-0.0114
1080p,1920,1080,1600,900,1.2,x2,104.46,9.6,39.744,0.9811,39.699,0.9704,-0.044,-0.0106
1440p,2560,1440,256,144,10.0,x4,3.62,276.4,25.187,0.7471,25.33,0.7062,0.143,-0.0408
1440p,2560,1440,320,180,8.0,x4,5.8,172.4,26.859,0.7753,26.842,0.7395,-0.017,-0.0358
1440p,2560,1440,426,240,6.0,x4,13.05,76.6,28.254,0.8095,28.378,0.7788,0.124,-0.0307
1440p,2560,1440,480,270,5.33,x4,13.71,73.0,28.228,0.8253,28.289,0.795,0.061,-0.0303
1440p,2560,1440,640,360,4.0,x4,26.32,38.0,30.606,0.8721,30.644,0.8405,0.038,-0.0315
1440p,2560,1440,768,432,3.33,x3,30.2,33.1,31.071,0.8879,31.06,0.8609,-0.011,-0.027
1440p,2560,1440,854,480,3.0,x3,42.76,23.4,31.924,0.8989,31.994,0.8719,0.07,-0.0269
1440p,2560,1440,960,540,2.67,x3,46.18,21.7,32.41,0.9139,32.457,0.8869,0.047,-0.027
1440p,2560,1440,1152,648,2.22,x2,56.84,17.6,33.878,0.9365,34.029,0.9254,0.151,-0.0112
1440p,2560,1440,1280,720,2.0,x2,68.95,14.5,36.086,0.9562,36.48,0.9437,0.394,-0.0124
1440p,2560,1440,1600,900,1.6,x2,105.28,9.5,37.131,0.9699,37.521,0.9588,0.391,-0.0111
1440p,2560,1440,1920,1080,1.33,x2,152.08,6.6,39.254,0.982,40.137,0.9719,0.883,-0.0101
4K,3840,2160,256,144,15.0,x4,3.58,279.5,24.505,0.7274,24.667,0.6868,0.162,-0.0406
4K,3840,2160,320,180,12.0,x4,5.78,172.9,25.654,0.742,25.743,0.7064,0.088,-0.0356
4K,3840,2160,426,240,9.0,x4,12.07,82.9,26.76,0.7645,26.95,0.7336,0.19,-0.0309
4K,3840,2160,480,270,8.0,x4,13.48,74.2,26.827,0.7762,26.959,0.7467,0.132,-0.0294
4K,3840,2160,640,360,6.0,x4,26.39,37.9,28.303,0.8069,28.495,0.7796,0.192,-0.0273
4K,3840,2160,768,432,5.0,x4,36.84,27.1,28.407,0.8197,28.517,0.7952,0.11,-0.0245
4K,3840,2160,854,480,4.5,x4,60.04,16.7,29.247,0.8341,29.458,0.8117,0.21,-0.0224
4K,3840,2160,960,540,4.0,x4,59.93,16.7,29.69,0.8489,29.912,0.8263,0.221,-0.0226
4K,3840,2160,1152,648,3.33,x3,65.02,15.4,30.247,0.8672,30.309,0.8421,0.062,-0.0252
4K,3840,2160,1280,720,3.0,x3,87.39,11.4,30.823,0.8765,30.935,0.8495,0.112,-0.0271
4K,3840,2160,1600,900,2.4,x2,104.84,9.5,32.13,0.9097,32.167,0.8979,0.037,-0.0118
4K,3840,2160,1920,1080,2.0,x2,162.97,6.1,34.004,0.9381,34.398,0.9274,0.394,-0.0107
